chr11.tRNA3-ArgTCT	47	61
chr14.tRNA16-TyrGTA	49	71
chr14.tRNA17-TyrGTA	49	71
chr14.tRNA18-TyrGTA	49	71
chr14.tRNA19-TyrGTA	49	71
chr14.tRNA5-TyrGTA	47	64
chr16.tRNA4-ProAGG	46	63
chr17.tRNA4-ArgTCT	47	63
chr19.tRNA10-IleTAT	49	69
chr1.tRNA58-LeuCAA	48	71
chr1.tRNA9-ArgTCT	47	60
chr2.tRNA14-TyrATA	47	68
chr2.tRNA2-TyrGTA	47	64
chr2.tRNA5-IleTAT	48	68
chr5.tRNA1-PseudoACA	46	151
chr6.tRNA100-LeuCAA	58	82
chr6.tRNA140-LeuCAA	59	84
chr6.tRNA141-LeuCAA	59	83
chr6.tRNA14-TyrGTA	47	66
chr6.tRNA15-TyrGTA	47	65
chr6.tRNA16-TyrGTA	47	64
chr6.tRNA17-TyrGTA	47	64
chr6.tRNA29-IleTAT	48	69
chr6.tRNA52-ArgTCT	47	62
chr6.tRNA55-IleTAT	48	69
chr6.tRNA63-IleTAT	48	69
chr6.tRNA74-LeuCAA	48	71
chr8.tRNA12-TyrGTA	48	65
chr8.tRNA4-TyrGTA	47	68
chr8.tRNA5-TyrGTA	47	64
chr9.tRNA3-TrpCCA	49	74
chr9.tRNA4-ArgTCT	49	68
